game,player,team,minute,added_time,period,md
EXPRESS-vs-KCCA,Sammy Raynald Ssebaduka,KCCA,71,no,2,4.0
KITARA-vs-MBARARA,Isaac Amutuhaire,KITARA,13,no,1,4.0
KITARA-vs-MBARARA,Jimmy Kalema,KITARA,16,no,1,4.0
KITARA-vs-MBARARA,Innocent Wafula Esimu,MBARARA,23,no,1,4.0
KITARA-vs-MBARARA,Henry Kitegenyi,MBARARA,76,no,2,4.0
KITARA-vs-MBARARA,Wahab Gadafi,KITARA,91,yes,2,4.0
VILLA-VS-POLICE,Bedia Djuma Ikamba,POLICE,22,no,1,4.0
VILLA-VS-POLICE,Geofrey Gagganga,Villa,70,no,2,4.0
VILLA-VS-POLICE,Charles Lwanga,Villa,93,yes,2,4.0
ENTEBBE-vs-NEC,Junior Samuel Kawawa,ENTEBBE,60,no,2,4.0
POLICE-vs-MAROONS,Bedia Djuma Ikamba,POLICE,18,no,1,5.0
POLICE-vs-MAROONS,Bedia Djuma Ikamba,POLICE,28,no,1,5.0
POLICE-vs-MAROONS,Rogers Kiwanuka,MAROONS,42,no,1,5.0
URA-vs-UPDF,Moses Okabo Aliro,URA,25,no,1,5.0
URA-vs-UPDF,Samson Andrew Kigozi,UPDF,27,no,1,5.0
URA-vs-UPDF,George Masembe,URA,45,no,1,5.0
URA-vs-UPDF,Samuel Kayongo Ssekamatte,UPDF,54,no,2,5.0
URA-vs-UPDF,Moses Okabo Aliro,URA,77,no,2,5.0
KITARA-vs-LUGAZI,Patrick Henry Kaddu,KITARA,10,no,1,5.0
KITARA-vs-LUGAZI,Patrick Henry Kaddu,KITARA,48,yes,1,5.0
KITARA-vs-LUGAZI,Yunusu Sibira,KITARA,51,no,2,5.0
KITARA-vs-LUGAZI,Wahab Gadafi,KITARA,87,no,2,5.0
BUHIMBA-vs-VILLA,Reagan Mpande,Villa,2,no,1,5.0
BUHIMBA-vs-VILLA,Aslam Ssemakula,Villa,14,no,1,5.0
BUHIMBA-vs-VILLA,Reagan Mpande,Villa,65,no,2,5.0
KCCA-vs-CALVARY,Ivan Ahimbisibwe,KCCA,10,no,1,5.0
KCCA-vs-CALVARY,Umar Lutalo,KCCA,13,no,1,5.0
KCCA-vs-CALVARY,Shafik Nana Kwikiriza,KCCA,43,no,1,5.0
KCCA-vs-CALVARY,Lawrence Olaboro,CALVARY,47,no,2,5.0
KCCA-vs-CALVARY,Herbert Achayi,KCCA,63,no,2,5.0
KCCA-vs-CALVARY,Stephen Oriokot,CALVARY,71,no,2,5.0
ENTEBBE-vs-VIPERS,Abdulkarim Watambala,VIPERS,62,no,2,5.0
MBARARA-vs-NEC,Allan Mugalu,NEC,54,no,2,5.0
EXPRESS-vs-MBARARA,Abdulahi Rashid,EXPRESS,12,no,1,6.0
EXPRESS-vs-MBARARA,Richard Basangwa,EXPRESS,25,no,1,6.0
EXPRESS-vs-MBARARA,Muhamed Kagawa Ssenoga,EXPRESS,46,no,2,6.0
EXPRESS-vs-MBARARA,Muhamed Kagawa Ssenoga,EXPRESS,72,no,2,6.0
EXPRESS-vs-MBARARA,Gabriel Eragu,MBARARA,78,no,2,6.0
UPDF-vs-POLICE,Deus Bukenya,POLICE,65,no,2,6.0
UPDF-vs-POLICE,Rashid Faridi,UPDF,88,no,2,6.0
UPDF-vs-POLICE,Derrick Maviiri,POLICE,89,no,2,6.0
VILLA-vs-KITARA,Frank Ssebufu,Villa,65,no,2,6.0
CALVARY-vs-ENTEBBE,Junior Samuel Kawawa,ENTEBBE,36,no,1,6.0
CALVARY-vs-ENTEBBE,Hassan Ssenyonjo,ENTEBBE,49,no,2,6.0
CALVARY-vs-ENTEBBE,Ambrose Kigozi,ENTEBBE,64,no,2,6.0
CALVARY-vs-ENTEBBE,Muhammad Kyeyune,ENTEBBE,65,no,2,6.0
CALVARY-vs-ENTEBBE,John Rogers,CALVARY,68,no,2,6.0
CALVARY-vs-ENTEBBE,Lawrence Olaboro,CALVARY,71,no,2,6.0
VIPERS-vs-KCCA,Allan Okello,VIPERS,32,no,1,6.0
LUGAZI-vs-BUHIMBA,David Bagoole,LUGAZI,32,no,1,6.0
LUGAZI-vs-BUHIMBA,Abdul Kalanzi,LUGAZI,41,no,1,6.0
LUGAZI-vs-BUHIMBA,Swadik Moro,BUHIMBA,49,no,2,6.0
LUGAZI-vs-BUHIMBA,Ayiko Richard (OG),BUHIMBA,51,no,2,6.0
LUGAZI-vs-BUHIMBA,Freedom Mungudit,LUGAZI,75,no,2,6.0
LUGAZI-vs-BUHIMBA,Freedom Mungudit,LUGAZI,79,no,2,6.0
LUGAZI-vs-BUHIMBA,Dauson Mafumu,LUGAZI,85,no,2,6.0
NEC-vs-BUL,Dhata Joseph Stephen Lujang,NEC,27,no,1,6.0
NEC-vs-BUL,Jeromy Kirya,BUL,46,yes,1,6.0
ENTEBBE-vs-POLICE,Lawrence Tezikya,POLICE,32,no,1,6.0
ENTEBBE-vs-POLICE,Abudshakur Ramsey Jemba,POLICE,83,no,2,6.0
CALVARY-vs-UPDF,Emmanuel Manu Ochen,UPDF,12,no,1,7.0
KITARA-vs-BUL,Jimmy Kalema,KITARA,11,no,1,7.0
KCCA-vs-URA,Ivan Ahimbisibwe,KCCA,16,no,1,7.0
KCCA-vs-URA,Ivan Ahimbisibwe,KCCA,41,no,1,7.0
KCCA-vs-URA,Joseph Ssemujju,URA,66,no,2,7.0
VIPERS-vs-MAROONS,Derick Basoga (OG),VIPERS,1,no,1,7.0
VIPERS-vs-MAROONS,Kiza Arafat Usama,VIPERS,8,no,1,7.0
VIPERS-vs-MAROONS,Raymond Walugembe,MAROONS,57,no,2,7.0
VILLA-vs-NEC,Najib Yiga,Villa,47,no,2,7.0
VILLA-vs-NEC,Elivis Ngonde,Villa,87,no,2,7.0
VILLA-vs-NEC,Daniel Shabene,NEC,90,no,2,7.0
MAROONS-vs-NEC,Ivan Asaba,MAROONS,74,no,2,8.0
MAROONS-vs-NEC,Marvin Kavuma,NEC,76,no,2,8.0
VIPERS-vs-VILLA,Frank Ssebufu,Villa,67,no,2,8.0
VIPERS-vs-VILLA,Kiza Arafat Usama,VIPERS,72,no,2,8.0
MAROONS-vs-LUGAZI,Raymond Walugembe,MAROONS,1,no,1,8.0
MAROONS-vs-LUGAZI,Jackson Nunda,MAROONS,34,no,1,8.0
MAROONS-vs-LUGAZI,Ivan Asaba,MAROONS,87,no,2,8.0
BUL-vs-ENTEBBE,Ambrose Kigozi,ENTEBBE,49,no,2,8.0
BUL-vs-ENTEBBE,Ambrose Kigozi,ENTEBBE,58,no,2,8.0
POLICE-vs-KITARA,Patrick Henry Kaddu,KITARA,11,no,1,8.0
POLICE-vs-KITARA,Lawrence Tezikya,POLICE,63,no,2,8.0
POLICE-vs-KITARA,Isaac Amutuhaire,KITARA,92,yes,2,8.0
UPDF-vs-VILLA,Ibrahim Kasinde,Villa,65,no,2,8.0
MBARARA-vs-KCCA,Herbert Achayi,KCCA,16,no,1,8.0
MBARARA-vs-KCCA,Muhammed Kanyike,MBARARA,26,no,1,8.0
MBARARA-vs-KCCA,Ivan Ahimbisibwe,KCCA,50,no,2,8.0
URA-vs-BUHIMBA,Joseph Ssemujju,URA,31,no,1,8.0
URA-vs-BUHIMBA,Nelson Senkatuka,URA,41,no,1,8.0
URA-vs-BUHIMBA,Denis Luzige Kisiriko,URA,46,yes,1,8.0
URA-vs-BUHIMBA,Martin Philip Opolot,BUHIMBA,55,no,2,8.0
URA-vs-BUHIMBA,Edson Agondeze,BUHIMBA,59,no,2,8.0
URA-vs-BUHIMBA,Fred Amaku,URA,70,no,2,8.0
URA-vs-BUHIMBA,Fred Amaku,URA,74,no,2,8.0
URA-vs-BUHIMBA,Fred Amaku,URA,83,no,2,8.0
URA-vs-BUHIMBA,Charles Kyomuhendo,BUHIMBA,85,no,2,8.0
URA-vs-BUHIMBA,Living Kabon,URA,90,no,2,8.0
NEC-vs-CALVARY,CHARLES MOSES WAIBI,NEC,71,no,2,8.0
EXPRESS-vs-VIPERS,Enock Ssebaggala,VIPERS,38,no,1,8.0
EXPRESS-vs-VIPERS,Allan Okello,VIPERS,66,no,2,8.0
EXPRESS-vs-VIPERS,Isaac Ogwang,VIPERS,68,no,2,8.0
VIPERS-vs-UPDF,Milton Karisa,VIPERS,33,no,1,9.0
VIPERS-vs-UPDF,Gusto Wa Ilungo Mulongo,VIPERS,37,no,1,9.0
VIPERS-vs-UPDF,Samuel Kayongo Ssekamatte,UPDF,46,no,2,9.0
VIPERS-vs-UPDF,Gusto Wa Ilungo Mulongo,VIPERS,47,no,2,9.0
VIPERS-vs-UPDF,ROBIN KANE HNEY,VIPERS,56,no,2,9.0
VIPERS-vs-UPDF,Moses Waiswa Ndhondhi,VIPERS,75,no,2,9.0
POLICE-vs-BUHIMBA,Dennis Kalanzi,POLICE,10,no,1,9.0
POLICE-vs-BUHIMBA,Umaru Kasumba,POLICE,41,no,1,9.0
POLICE-vs-BUHIMBA,Saidi Kyeyune,POLICE,59,no,2,9.0
POLICE-vs-BUHIMBA,Derrick Maviiri,POLICE,81,no,2,9.0
MBARARA-vs-ENTEBBE,Muhammed Kanyike,MBARARA,72,no,2,9.0
MBARARA-vs-ENTEBBE,Ambrose Kigozi,ENTEBBE,79,no,2,9.0
UPDF-vs-LUGAZI,Emmanuel Manu Ochen,UPDF,14,no,1,9.0
UPDF-vs-LUGAZI,Joseph Janjali,UPDF,46,no,2,9.0
NEC-vs-VIPERS,Mustafa Kizza,NEC,22,no,1,9.0
NEC-vs-VIPERS,Milton Karisa,VIPERS,50,no,2,9.0
EXPRESS-vs-CALVARY,Richard Basangwa,EXPRESS,26,no,1,9.0
EXPRESS-vs-CALVARY,Muhamed Kagawa Ssenoga,EXPRESS,49,no,2,9.0
EXPRESS-vs-CALVARY,Muhamed Kagawa Ssenoga,EXPRESS,55,no,2,9.0
EXPRESS-vs-CALVARY,Habert Asiimwe,EXPRESS,75,no,2,9.0
URA-vs-KITARA,Patrick Henry Kaddu,KITARA,2,no,1,9.0
MAROONS-vs-VILLA,Ivan Mayanja,MAROONS,1,no,1,9.0
BUL-vs-KCCA,George Kasonko,BUL,37,no,1,9.0
BUL-vs-KCCA,Sammy Raynald Ssebaduka,KCCA,57,no,2,9.0
BUL-vs-KCCA,Alex Yiga,KCCA,91,yes,2,9.0
BUHIMBA-vs-UPDF,Samuel Kayongo Ssekamatte,UPDF,20,no,1,10.0
BUHIMBA-vs-UPDF,Edson Agondeze,BUHIMBA,39,no,1,10.0
BUHIMBA-vs-UPDF,Kitara Daniel,UPDF,60,no,2,10.0
BUHIMBA-vs-UPDF,Edson Agondeze,BUHIMBA,68,no,2,10.0
LUGAZI-vs-POLICE,Abdul Kalanzi,LUGAZI,34,no,1,10.0
LUGAZI-vs-POLICE,Emmanuel Mugume,POLICE,70,no,2,10.0
ENTEBBE-vs-EXPRESS,Noordin Saddic Bunjo,ENTEBBE,53,no,2,10.0
ENTEBBE-vs-EXPRESS,Ambrose Kigozi,ENTEBBE,70,no,2,10.0
VILLA-vs-URA,Missi Diego Semugera,Villa,22,no,1,10.0
VILLA-vs-URA,Najib Yiga,Villa,47,no,2,10.0
VILLA-vs-URA,Frank Mulimi,Villa,69,no,2,10.0
KITARA-vs-MAROONS,Patrick Henry Kaddu,KITARA,1,no,1,10.0
KITARA-vs-MAROONS,Patrick Henry Kaddu,KITARA,34,no,1,10.0
KCCA-vs-NEC,Saidi Mayanja,KCCA,45,no,1,10.0
KCCA-vs-NEC,Titus Ssematimba,NEC,52,no,2,10.0
KCCA-vs-NEC,Saidi Mayanja,KCCA,87,no,2,10.0
VIPERS-vs-BUL,Enock Ssebaggala,VIPERS,48,no,2,10.0
VIPERS-vs-BUL,Jeromy Kirya,BUL,55,no,2,10.0
VIPERS-vs-BUL,Abdulkarim Watambala,VIPERS,60,no,2,10.0
BUL-vs-POLICE,Bedia Djuma Ikamba,POLICE,15,no,1,11.0
BUL-vs-POLICE,Abdul Karim Ndugwa,BUL,30,no,1,11.0
BUL-vs-POLICE,Daniel Jakony,POLICE,86,no,2,11.0
BUL-vs-POLICE,Brian James Obedi,POLICE,94,yes,2,11.0
KCCA-vs-BUHIMBA,Rogers Mugisha,KCCA,27,no,1,11.0
MAROONS-vs-EXPRESS,Raymond Walugembe,MAROONS,26,no,1,11.0
MAROONS-vs-EXPRESS,Emmanuel Obua,MAROONS,29,no,1,11.0
MAROONS-vs-EXPRESS,Emmanuel Obua,MAROONS,39,no,1,11.0
MAROONS-vs-EXPRESS,Brian Nkuubi,MAROONS,90,no,2,11.0
MBARARA-vs-URA,Henry Kitegenyi,MBARARA,61,no,2,11.0
LUGAZI-vs-VIPERS,Kiza Arafat Usama,VIPERS,8,no,1,11.0
LUGAZI-vs-VIPERS,Junior Yunus Sentamu,VIPERS,74,no,2,11.0
LUGAZI-vs-VIPERS,Ashiraf Mulindi,LUGAZI,89,no,2,11.0
VILLA-vs-CALVARY,Aslam Ssemakula,Villa,5,no,1,11.0
ENTEBBE-vs-KITARA,John Kokas Alou,ENTEBBE,34,no,1,11.0
